MET2013,ai_exposure_wtd_avg,perwt_with_score,n_workers,perwt_total_all,perwt_coverage_pct,n_workers_all,n_coverage_pct
41940,0.23167884131535355,831206.0,41256,887665.0,93.64,44065,93.63
47900,0.14086862441676945,2735380.0,132892,2980059.0,91.79,145083,91.6
41860,0.12795290915269572,2103711.0,98332,2258100.0,93.16,105763,92.97
11460,0.10296543176814563,158715.0,6798,169346.0,93.72,7248,93.79
39580,0.07052262999985735,603192.0,24740,656854.0,91.83,26923,91.89
42660,0.06921482526108144,1737728.0,78594,1874703.0,92.69,84967,92.5
14460,0.06573936837919206,2234653.0,106162,2421452.0,92.29,115060,92.27
27060,0.05513063660871829,42861.0,2252,46191.0,92.79,2444,92.14
26620,0.04785653054330941,173623.0,6787,188274.0,92.22,7353,92.3
12580,0.040797190968084984,1178306.0,54527,1299946.0,90.64,60196,90.58
19740,0.033429030034694183,1366825.0,63046,1480480.0,92.32,68326,92.27
12420,0.03076429402237302,969340.0,42515,1048337.0,92.46,45969,92.49
39340,0.021174305708489886,235473.0,13646,255340.0,92.22,14867,91.79
14010,0.013452483577377569,75822.0,4336,81593.0,92.93,4670,92.85
33460,0.0064539666607437264,1654913.0,55641,1788085.0,92.55,60306,92.26
45940,-0.007059987080190558,150647.0,6241,165075.0,91.26,6876,90.76
25540,-0.009593258296172516,525193.0,25708,575813.0,91.21,28171,91.26
14860,-0.009775070368481218,409304.0,19734,445509.0,91.87,21543,91.6
10580,-0.013088681887719188,365087.0,17474,401573.0,90.91,19241,90.82
22660,-0.014237058986810075,155255.0,7087,167860.0,92.49,7664,92.47
19780,-0.017132825477028504,319008.0,11185,344318.0,92.65,12102,92.42
15540,-0.020547836647665324,101874.0,3590,110508.0,92.19,3896,92.15
36260,-0.025167303110053007,238781.0,9949,260350.0,91.72,10894,91.33
38900,-0.027689830663800135,1069989.0,49919,1160690.0,92.19,54280,91.97
18140,-0.038383151137165276,859148.0,36283,927844.0,92.6,39315,92.29
12060,-0.03992734867630672,2489727.0,105550,2704748.0,92.05,115126,91.68
31700,-0.04609533492583478,165791.0,7274,181655.0,91.27,7950,91.5
35620,-0.04618474141777842,8393398.0,376971,9174705.0,91.48,413060,91.26
37980,-0.04729571626205661,2572049.0,108150,2822048.0,91.14,118902,90.96
17860,-0.04831279835075806,80655.0,2808,86766.0,92.96,3022,92.92
41620,-0.048553533330477947,536605.0,22643,579292.0,92.63,24543,92.26
44300,-0.04989258359999351,67457.0,3205,72563.0,92.96,3460,92.63
17820,-0.050887154416842856,302209.0,12906,346943.0,87.11,14990,86.1
40060,-0.06086354383103945,551594.0,25608,604264.0,91.28,28047,91.3
38300,-0.06671789826101865,959895.0,46422,1054079.0,91.06,51164,90.73
41740,-0.07429698537652779,1397881.0,59834,1554146.0,89.95,66820,89.55
16980,-0.07586202082887607,4031245.0,167524,4419818.0,91.21,183729,91.18
36500,-0.07595742371388689,111902.0,4773,125276.0,89.32,5338,89.42
30700,-0.07794178812906975,144665.0,5235,156670.0,92.34,5686,92.07
17140,-0.07967311344719437,893747.0,39483,972341.0,91.92,43097,91.61
19820,-0.0810352465743676,1672358.0,66353,1831742.0,91.3,72754,91.2
40900,-0.08218035120967347,923260.0,43846,1007356.0,91.65,47899,91.54
16580,-0.08273322344322344,90285.0,4172,96329.0,93.73,4493,92.86
38860,-0.08406153197838472,244575.0,8191,264468.0,92.48,8870,92.34
28140,-0.08425834123900762,944301.0,41428,1021954.0,92.4,44988,92.09
36540,-0.08454551037877939,454956.0,19333,494141.0,92.07,21043,91.87
19100,-0.08540513104399843,3140807.0,146751,3398180.0,92.43,159433,92.05
33340,-0.08687414392208784,664973.0,21257,723508.0,91.91,23163,91.77
29940,-0.08715214177053143,56094.0,1729,61178.0,91.69,1881,91.92
16740,-0.08739746724100998,1079045.0,51212,1178130.0,91.59,55957,91.52
40380,-0.08749945376352368,457798.0,25551,501116.0,91.36,28002,91.25
41180,-0.09051423991612735,1206781.0,52449,1316519.0,91.66,57353,91.45
14020,-0.09189823624391666,62316.0,2633,67031.0,92.97,2840,92.71
44100,-0.09866167554575765,80419.0,4440,87970.0,91.42,4884,90.91
17780,-0.09926844584829667,91187.0,3982,97383.0,93.64,4251,93.67
29620,-0.09985723879455229,200821.0,9449,218415.0,91.94,10314,91.61
16700,-0.09992591462243895,326139.0,14483,355487.0,91.74,15840,91.43
27260,-0.09998111779733385,616293.0,26252,678523.0,90.83,28887,90.88
26900,-0.10172573376939002,854724.0,34057,932646.0,91.65,37226,91.49
38060,-0.10221368964028985,1922355.0,86655,2089609.0,92.0,94370,91.82
23540,-0.10298717802466151,110165.0,5247,118742.0,92.78,5653,92.82
47260,-0.10328047058122888,705238.0,32469,800435.0,88.11,36918,87.95
26980,-0.10376160275608093,71596.0,2314,76571.0,93.5,2493,92.82
25420,-0.10634395029730365,241511.0,10991,264436.0,91.33,12075,91.02
35300,-0.10674506650029367,371734.0,16353,406747.0,91.39,17927,91.22
45300,-0.10758933846666963,1248622.0,65583,1362467.0,91.64,71882,91.24
42100,-0.10778399780116842,112112.0,5066,121093.0,92.58,5487,92.33
15380,-0.11007632696299414,465386.0,22203,509984.0,91.26,24371,91.1
34980,-0.11740196834531176,884626.0,40201,960297.0,92.12,43831,91.72
14260,-0.11801551563010154,297700.0,10331,323750.0,91.95,11260,91.75
49340,-0.11921340915044015,401951.0,20247,440938.0,91.16,22202,91.19
37340,-0.12113752157962689,217480.0,9633,237009.0,91.76,10534,91.45
17460,-0.1222198919800645,841509.0,42503,929004.0,90.58,46850,90.72
31080,-0.12820889005839572,5578201.0,273239,6072730.0,91.86,297932,91.71
24340,-0.12849428076622882,389486.0,13952,431768.0,90.21,15472,90.18
13820,-0.13011526866596576,443338.0,18703,483853.0,91.63,20536,91.07
10740,-0.1324970521440698,358325.0,13907,392170.0,91.37,15272,91.06
48140,-0.13295287593712674,60235.0,3587,64950.0,92.74,3886,92.31
16620,-0.13371377838287907,71314.0,3239,78507.0,90.84,3574,90.63
13980,-0.13384762817741408,71625.0,3183,77240.0,92.73,3438,92.58
34060,-0.13483360149172402,56017.0,2730,61128.0,91.64,2986,91.43
19380,-0.1349173857543969,323659.0,14961,353884.0,91.46,16358,91.46
12220,-0.1388239508688887,65190.0,2080,70181.0,92.89,2259,92.08
48620,-0.13899497095170285,252605.0,10266,273529.0,92.35,11164,91.96
35980,-0.14117713602717466,115273.0,6096,129646.0,88.91,6900,88.35
37100,-0.1419674813070547,340665.0,16806,371099.0,91.8,18425,91.21
14740,-0.1428282240651021,101615.0,5674,116885.0,86.94,6488,87.45
36740,-0.14442477109295168,1047045.0,42179,1140192.0,91.83,46062,91.57
30780,-0.14665752484477013,285879.0,11257,314498.0,90.9,12447,90.44
45060,-0.14761648925083795,270389.0,16647,296634.0,91.15,18238,91.28
26420,-0.1493137228619274,2798969.0,103946,3039672.0,92.08,113395,91.67
13460,-0.1502014603119982,76582.0,2492,84843.0,90.26,2750,90.62
42140,-0.15245942636695825,58966.0,3585,63964.0,92.19,3890,92.16
22220,-0.1546595294639788,202785.0,8657,221611.0,91.5,9509,91.04
17900,-0.1555152299606513,335666.0,16328,375509.0,89.39,18403,88.72
10420,-0.15815882494822064,293180.0,13238,325002.0,90.21,14629,90.49
40220,-0.1592861397563295,134442.0,6062,146387.0,91.84,6634,91.38
33860,-0.16301747298656682,139281.0,5713,154206.0,90.32,6381,89.53
24860,-0.16410348736685082,380696.0,18238,415360.0,91.65,19988,91.24
36420,-0.16503377334084735,589000.0,19774,646401.0,91.12,21781,90.79
